Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-02-05 01:51:56;2020-02-05 09:42:21;90%;96%;;0;3825;Normal;101.3;;59.2;28224.9;24932.0;188.2;2020-02-05 06:15:00;2020-02-05 06:45:00;true;0.0;32.0;No weather;
2020-02-06 03:00:25;2020-02-06 09:42:11;65%;94%;;0;1383;Normal;101.0;;82.5;24106.4;19606.6;482.1;2020-02-06 06:15:00;2020-02-06 06:45:00;true;0.0;32.0;No weather;
2020-02-07 02:23:30;2020-02-07 09:26:29;78%;93%;;0;4390;Normal;100.9;;64.0;25378.7;20303.0;2537.9;2020-02-07 06:15:00;2020-02-07 06:45:00;true;0.0;32.0;No weather;
2020-02-08 02:12:46;2020-02-08 09:15:32;87%;93%;;0;3150;Normal;100.0;;47.4;25365.1;20968.5;1014.6;2020-02-08 06:15:00;2020-02-08 06:45:00;true;0.0;32.0;No weather;
2020-02-09 02:35:23;2020-02-09 09:19:16;82%;95%;;0;429;Normal;102.4;;48.4;24233.4;17286.5;1211.7;2020-02-09 06:15:00;2020-02-09 06:45:00;true;0.0;32.0;No weather;
2020-02-10 02:22:11;2020-02-10 09:43:20;89%;96%;;0;774;Normal;102.4;;48.7;26469.7;22763.9;2117.6;2020-02-10 06:15:00;2020-02-10 06:45:00;true;0.0;32.0;No weather;
2020-02-11 02:31:42;2020-02-11 09:29:54;78%;96%;;0;2857;Normal;102.3;;60.2;25091.4;20825.9;501.8;2020-02-11 06:15:00;2020-02-11 06:45:00;true;0.0;32.0;No weather;
2020-02-12 02:36:01;2020-02-12 09:28:03;77%;97%;;0;3275;Normal;101.8;;59.2;24722.4;21920.5;494.4;2020-02-12 06:15:00;2020-02-12 06:45:00;true;0.0;32.0;No weather;
2020-02-13 02:37:46;2020-02-13 09:42:13;80%;98%;;0;4266;Normal;101.2;;58.1;25466.8;23089.9;509.3;2020-02-13 06:15:00;2020-02-13 06:45:00;true;0.0;32.0;No weather;
2020-02-14 02:10:13;2020-02-14 09:21:28;71%;97%;;0;3257;Normal;100.7;;78.6;25875.4;23374.1;517.5;2020-02-14 06:15:00;2020-02-14 06:45:00;true;0.0;32.0;No weather;
